item,sector,region,policy,value,co2p,scc
CO2 price,EITE,chn,LSR,9.999999999999997e-7,0,0
CO2 price,EITE,chn,OBR,9.999999999999997e-7,0,0
CO2 price,EITE,chn,ABR,9.999999999999997e-7,0,0
CO2 price,EITE,chn,ibr,9.999999999999997e-7,0,0
CO2 price,EITE,chn,bcr,9.999999999999997e-7,0,0
CO2 price,EITE,ind,LSR,1e-6,0,0
CO2 price,EITE,ind,OBR,1e-6,0,0
CO2 price,EITE,ind,ABR,1e-6,0,0
CO2 price,EITE,ind,ibr,1e-6,0,0
CO2 price,EITE,ind,bcr,1e-6,0,0
CO2 price,EITE,EUR,LSR,1e-6,0,0
CO2 price,EITE,EUR,OBR,1e-6,0,0
CO2 price,EITE,EUR,ABR,1e-6,0,0
CO2 price,EITE,EUR,ibr,1e-6,0,0
CO2 price,EITE,EUR,bcr,1e-6,0,0
CO2 price,EITE,OG20,LSR,1e-6,0,0
CO2 price,EITE,OG20,OBR,1e-6,0,0
CO2 price,EITE,OG20,ABR,1e-6,0,0
CO2 price,EITE,OG20,ibr,1e-6,0,0
CO2 price,EITE,OG20,bcr,1e-6,0,0
CO2 price,EITE,ROW,LSR,1.0000000000000002e-6,0,0
CO2 price,EITE,ROW,OBR,1.0000000000000002e-6,0,0
CO2 price,EITE,ROW,ABR,1.0000000000000002e-6,0,0
CO2 price,EITE,ROW,ibr,1.0000000000000002e-6,0,0
CO2 price,EITE,ROW,bcr,1.0000000000000002e-6,0,0
CO2 price,non-EITE,chn,LSR,1e-6,0,0
CO2 price,non-EITE,chn,OBR,1e-6,0,0
CO2 price,non-EITE,chn,ABR,1e-6,0,0
CO2 price,non-EITE,chn,ibr,1e-6,0,0
CO2 price,non-EITE,chn,bcr,1e-6,0,0
CO2 price,non-EITE,ind,LSR,1e-6,0,0
CO2 price,non-EITE,ind,OBR,1e-6,0,0
CO2 price,non-EITE,ind,ABR,1e-6,0,0
CO2 price,non-EITE,ind,ibr,1e-6,0,0
CO2 price,non-EITE,ind,bcr,1e-6,0,0
CO2 price,non-EITE,EUR,LSR,1.0000000000000002e-6,0,0
CO2 price,non-EITE,EUR,OBR,1.0000000000000002e-6,0,0
CO2 price,non-EITE,EUR,ABR,1.0000000000000002e-6,0,0
CO2 price,non-EITE,EUR,ibr,1.0000000000000002e-6,0,0
